"Intensity","ProteinGroup","external_gene_name","description"
817.621520996094,"O14841_REVERSED",NA,NA
567.50830078125,"O14867_REVERSED",NA,NA
484.470794677734,"O14867","BACH1","BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]"
589.517822265625,"O14879_REVERSED",NA,NA
853.637878417969,"O14879","IFIT3","interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]"
631.536926269531,"O14896","IRF6","interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]"
805.616058349609,"O14901","KLF11","KLF transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]"
466.4619140625,"O14904","WNT9A","Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]"
571.509643554688,"O14905_REVERSED",NA,NA
523.487854003906,"O14905","WNT9B","Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]"
643.542419433594,"O14917_REVERSED",NA,NA
577.512400309245,"O14917","PCDH17","protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]"
547.498748779297,"O14920","IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]"
721.577880859375,"O14921_REVERSED",NA,NA
724.579254150391,"O14921","RGS13","regulator of G protein signaling 13 [Source:HGNC Symbol;Acc:HGNC:9995]"
577.512390136719,"O14924_REVERSED",NA,NA
679.558776855469,"O14925_REVERSED",NA,NA
601.523315429688,"O14925","TIMM23","translocase of inner mitochondrial membrane 23 [Source:HGNC Symbol;Acc:HGNC:17312]"
541.496032714844,"O14926","FSCN2","fascin actin-bundling protein 2, retinal [Source:HGNC Symbol;Acc:HGNC:3960]"
553.50146484375,"O14960_REVERSED",NA,NA
517.485107421875,"O14960","LECT2","leukocyte cell derived chemotaxin 2 [Source:HGNC Symbol;Acc:HGNC:6550]"
685.5615234375,"O14965","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]"
613.528747558594,"O14966_REVERSED",NA,NA
613.528747558594,"O14966","RAB29","RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]"
415.438720703125,"O14967_REVERSED",NA,NA
565.506927490234,"O14974_REVERSED",NA,NA
589.517822265625,"O14974","PPP1R12A","protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]"
790.609252929688,"O14976_REVERSED",NA,NA
703.569681803385,"O14976","GAK","cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]"
457.457824707031,"O14978_REVERSED",NA,NA
457.457824707031,"O14978","ZNF263","zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]"
619.531494140625,"O14980_REVERSED",NA,NA
742.587432861328,"O14980","XPO1","exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]"
853.637878417969,"O14981_REVERSED",NA,NA
853.637878417969,"O14981","BTAF1","B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]"
547.498779296875,"O14994","SYN3","synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]"
679.558776855469,"O15013_REVERSED",NA,NA
673.55605061849,"O15013","ARHGEF10","Rho guanine nucleotide exchange factor 10 [Source:HGNC Symbol;Acc:HGNC:14103]"
727.580627441406,"O15014","ZNF609","zinc finger protein 609 [Source:HGNC Symbol;Acc:HGNC:29003]"
776.802978515625,"O15015_REVERSED",NA,NA
799.613342285156,"O15015","ZNF646","zinc finger protein 646 [Source:HGNC Symbol;Acc:HGNC:29004]"
637.539672851562,"O15016_REVERSED",NA,NA
637.539672851562,"O15016",NA,NA
718.57649230957,"O15020_REVERSED",NA,NA
691.564229329427,"O15020","SPTBN2","spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]"
649.545129394531,"O15021_REVERSED",NA,NA
633.537862141927,"O15021","MAST4","microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]"
571.509643554688,"O15027","SEC16A","SEC16 homolog A, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:29006]"
682.560119628906,"O15033_REVERSED",NA,NA
646.543762207031,"O15033","AREL1","apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]"
661.550598144531,"O15037","KHNYN","KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166]"
625.534240722656,"O15040_REVERSED",NA,NA
625.534240722656,"O15040","TECPR2","tectonin beta-propeller repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:19957]"
499.476928710938,"O15047","SETD1A","SET domain containing 1A, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29010]"
457.457824707031,"O15049_REVERSED",NA,NA
457.457824707031,"O15049","N4BP3","NEDD4 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29852]"
646.543792724609,"O15050_REVERSED",NA,NA
681.559692382812,"O15050","TRANK1","tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]"
823.624267578125,"O15055_REVERSED",NA,NA
919.667907714844,"O15056_REVERSED",NA,NA
913.665161132812,"O15056","SYNJ2","synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]"
727.580627441406,"O15060_REVERSED",NA,NA
598.521957397461,"O15060","ZBTB39","zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]"
553.50146484375,"O15061_REVERSED",NA,NA
559.504211425781,"O15062","ZBTB5","zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23836]"
535.493286132812,"O15063_REVERSED",NA,NA
907.662475585938,"O15068_REVERSED",NA,NA
463.460540771484,"O15068","MCF2L","MCF.2 cell line derived transforming sequence like [Source:HGNC Symbol;Acc:HGNC:14576]"
633.537862141927,"O15072_REVERSED",NA,NA
672.055374145508,"O15072","ADAMTS3","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
853.637878417969,"O15075","DCLK1","doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]"
577.512390136719,"O15078_REVERSED",NA,NA
577.512390136719,"O15078","CEP290","centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]"
559.504211425781,"O15079_REVERSED",NA,NA
715.575134277344,"O15083_REVERSED",NA,NA
403.434631347656,"O15085_REVERSED",NA,NA
538.495330810547,"O15085","ARHGEF11","Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]"
571.50966389974,"O15090_REVERSED",NA,NA
550.500122070312,"O15090","ZNF536","zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025]"
643.542419433594,"O15091","PRORP","protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]"
766.598327636719,"O15105_REVERSED",NA,NA
751.591491699219,"O15105","SMAD7","SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]"
721.577880859375,"O15118_REVERSED",NA,NA
657.04923248291,"O15118","NPC1","NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]"
499.476928710938,"O15119","TBX3","T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]"
832.628326416016,"O15123","ANGPT2","angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]"
793.610595703125,"O15126","SCAMP1","secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]"
433.446899414062,"O15131","KPNA5","karyopherin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6398]"
781.605163574219,"O15143_REVERSED",NA,NA
781.605163574219,"O15143","ARPC1B","actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]"
565.506958007812,"O15144","ARPC2","actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]"
469.463287353516,"O15146_REVERSED",NA,NA
469.463287353516,"O15151","MDM4","MDM4 regulator of p53 [Source:HGNC Symbol;Acc:HGNC:6974]"
697.566955566406,"O15162","PLSCR1","phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]"
529.491928100586,"O15164_REVERSED",NA,NA
529.491928100586,"O15164","TRIM24","tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]"
451.455078125,"O15165","LDLRAD4","low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]"
673.556030273438,"O15172",NA,NA
841.632446289062,"O15173_REVERSED",NA,NA
643.542419433594,"O15173","PGRMC2","progesterone receptor membrane component 2 [Source:HGNC Symbol;Acc:HGNC:16089]"
805.616088867188,"O15182_REVERSED",NA,NA
835.629699707031,"O15195_REVERSED",NA,NA
835.629699707031,"O15195","VILL","villin like [Source:HGNC Symbol;Acc:HGNC:30906]"
487.471466064453,"O15197_REVERSED",NA,NA
487.471466064453,"O15197",NA,NA
580.513763427734,"O15204_REVERSED",NA,NA
580.513763427734,"O15204","ADAMDEC1","ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]"
535.493286132812,"O15226_REVERSED",NA,NA
859.640625,"O15229","KMO","kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]"
583.51513671875,"O15230_REVERSED",NA,NA
639.540588378906,"O15230","LAMA5","laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]"
415.439407348633,"O15231","ZNF185","zinc finger protein 185 with LIM domain [Source:HGNC Symbol;Acc:HGNC:12976]"
715.575134277344,"O15232_REVERSED",NA,NA
502.478271484375,"O15232","MATN3","matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]"
505.479644775391,"O15265_REVERSED",NA,NA
505.479644775391,"O15265","ATXN7","ataxin 7 [Source:HGNC Symbol;Acc:HGNC:10560]"
415.438720703125,"O15266_REVERSED",NA,NA
415.438720703125,"O15266","SHOX","SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853]"
397.433258056641,"O15296_REVERSED",NA,NA
628.53694152832,"O15296","ALOX15B","arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]"
457.457824707031,"O15297_REVERSED",NA,NA
457.457824707031,"O15297","PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]"
603.524210611979,"O15303_REVERSED",NA,NA
529.490539550781,"O15303","GRM6","glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]"
595.520568847656,"O15305_REVERSED",NA,NA
817.621520996094,"O15305","PMM2","phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]"
823.624267578125,"O15327_REVERSED",NA,NA
823.624267578125,"O15327","INPP4B","inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]"
523.487854003906,"O15350_REVERSED",NA,NA
523.487854003906,"O15350","TP73","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]"
679.558776855469,"O15354","GPR37","G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]"
637.539672851562,"O15355","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]"
481.46875,"O15357_REVERSED",NA,NA
541.496032714844,"O15357","INPPL1","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]"
421.441436767578,"O15360_REVERSED",NA,NA
421.441436767578,"O15360","FANCA","FA complementation group A [Source:HGNC Symbol;Acc:HGNC:3582]"
675.556966145833,"O15371_REVERSED",NA,NA
593.520579020182,"O15371","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]"
787.60791015625,"O15374_REVERSED",NA,NA
787.60791015625,"O15374","SLC16A4","solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]"
871.646057128906,"O15379_REVERSED",NA,NA
511.482391357422,"O15379","HDAC3","histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]"
517.485107421875,"O15392_REVERSED",NA,NA
517.485107421875,"O15392","BIRC5","baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]"
523.487854003906,"O15397_REVERSED",NA,NA
481.46875,"O15403","SLC16A6","solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]"
604.524688720703,"O15417_REVERSED",NA,NA
577.512390136719,"O15440","ABCC5","ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]"
721.577880859375,"O15446_REVERSED",NA,NA
721.577880859375,"O15446","POLR1G","RNA polymerase I subunit G [Source:HGNC Symbol;Acc:HGNC:24219]"
949.681579589844,"O15455","TLR3","toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]"
727.580627441406,"O15457_REVERSED",NA,NA
727.580627441406,"O15457","MSH4","mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]"
901.659729003906,"O15484_REVERSED",NA,NA
913.665161132812,"O15484","CAPN5","calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]"
487.471466064453,"O15492_REVERSED",NA,NA
487.471466064453,"O15492","RGS16","regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]"
741.586954752604,"O15496_REVERSED",NA,NA
607.526062011719,"O15503","INSIG1","insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]"
541.496032714844,"O15511_REVERSED",NA,NA
541.496032714844,"O15511","ARPC5","actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]"
679.558776855469,"O15516_REVERSED",NA,NA
679.558776855469,"O15516","CLOCK","clock circadian regulator [Source:HGNC Symbol;Acc:HGNC:2082]"
553.50146484375,"O15523_REVERSED",NA,NA
553.50146484375,"O15523","DDX3Y","DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]"
445.452362060547,"O15528_REVERSED",NA,NA
727.580627441406,"O15534_REVERSED",NA,NA
727.580627441406,"O15534","PER1","period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]"
445.452362060547,"O15535_REVERSED",NA,NA
499.476928710938,"O15537_REVERSED",NA,NA
499.476928710938,"O15537","RS1","retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]"
606.025360107422,"O15541_REVERSED",NA,NA
553.50146484375,"O15541","RNF113A","ring finger protein 113A [Source:HGNC Symbol;Acc:HGNC:12974]"
529.490539550781,"O15547_REVERSED",NA,NA
439.449645996094,"O15552_REVERSED",NA,NA
811.618835449219,"O42043",NA,NA
805.616088867188,"O43143_REVERSED",NA,NA
559.504211425781,"O43143","DHX15","DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]"
571.509643554688,"O43147","SGSM2","small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]"
499.476928710938,"O43148_REVERSED",NA,NA
499.476928710938,"O43148","RNMT","RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]"
889.654266357422,"O43149_REVERSED",NA,NA
827.62607828776,"O43149","ZZEF1","zinc finger ZZ-type and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29027]"
721.577880859375,"O43150_REVERSED",NA,NA
721.577880859375,"O43150","ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]"
475.466003417969,"O43157_REVERSED",NA,NA
475.466003417969,"O43157","PLXNB1","plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]"
541.496032714844,"O43159_REVERSED",NA,NA
541.496032714844,"O43159","RRP8","ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]"
568.50830078125,"O43164","PJA2","praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]"
666.352770996094,"O43166_REVERSED",NA,NA
562.505554199219,"O43166","SIPA1L1","signal induced proliferation associated 1 like 1 [Source:HGNC Symbol;Acc:HGNC:20284]"
463.460540771484,"O43167_REVERSED",NA,NA
667.553298950195,"O43167","ZBTB24","zinc finger and BTB domain containing 24 [Source:HGNC Symbol;Acc:HGNC:21143]"
715.575134277344,"O43172_REVERSED",NA,NA
547.498779296875,"O43174","CYP26A1","cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]"
523.487854003906,"O43182_REVERSED",NA,NA
523.487854003906,"O43182","ARHGAP6","Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]"
643.542419433594,"O43184_REVERSED",NA,NA
706.571044921875,"O43184","ADAM12","ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
559.504211425781,"O43186_REVERSED",NA,NA
559.504211425781,"O43186","CRX","cone-rod homeobox [Source:HGNC Symbol;Acc:HGNC:2383]"
763.596984863281,"O43187_REVERSED",NA,NA
763.596984863281,"O43187","IRAK2","interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]"
823.624267578125,"O43189","PHF1","PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]"
769.599700927734,"O43193","MLNR","motilin receptor [Source:HGNC Symbol;Acc:HGNC:4495]"
637.539672851562,"O43196_REVERSED",NA,NA
535.493316650391,"O43236_REVERSED",NA,NA
547.498779296875,"O43236","SEPTIN4","septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]"
574.511367797852,"O43237_REVERSED",NA,NA
673.556030273438,"O43237","DYNC1LI2","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]"
433.446899414062,"O43248","HOXC11","homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]"
508.481002807617,"O43252_REVERSED",NA,NA
421.441436767578,"O43252","PAPSS1","3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603]"
859.640625,"O43264_REVERSED",NA,NA
670.5546875,"O43272_REVERSED",NA,NA
670.5546875,"O43272","PRODH","proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]"
637.539672851562,"O43280","TREH","trehalase [Source:HGNC Symbol;Acc:HGNC:12266]"
421.441436767578,"O43281_REVERSED",NA,NA
421.441436767578,"O43281","EFS","embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]"
735.584248860677,"O43283","MAP3K13","mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:HGNC:6852]"
469.463287353516,"O43286_REVERSED",NA,NA
775.602416992188,"O43292_REVERSED",NA,NA
775.602416992188,"O43292","GPAA1","glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]"
739.586059570312,"O43293_REVERSED",NA,NA
775.602416992188,"O43293","DAPK3","death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]"
577.512390136719,"O43294","TGFB1I1","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]"
553.501485188802,"O43295_REVERSED",NA,NA
508.481018066406,"O43295","SRGAP3","SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]"
663.051261901855,"O43296_REVERSED",NA,NA
533.992614746094,"O43296","ZNF264","zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]"
487.471466064453,"O43298","ZBTB43","zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]"
439.449645996094,"O43301_REVERSED",NA,NA
889.654296875,"O43304_REVERSED",NA,NA
625.534240722656,"O43307_REVERSED",NA,NA
592.519195556641,"O43309_REVERSED",NA,NA
471.465087890625,"O43309","ZSCAN12","zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]"
514.483734130859,"O43312_REVERSED",NA,NA
613.528747558594,"O43312","MTSS1","MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]"
757.59423828125,"O43313","ATMIN","ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]"
547.498779296875,"O43320","FGF16","fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]"
853.637878417969,"O43323_REVERSED",NA,NA
853.637878417969,"O43323","DHH","desert hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:2865]"
500.334459577288,"O43345_REVERSED",NA,NA
541.496021270752,"O43345","ZNF208","zinc finger protein 208 [Source:HGNC Symbol;Acc:HGNC:12999]"
841.632446289062,"O43353_REVERSED",NA,NA
841.632446289062,"O43353","RIPK2","receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]"
442.450988769531,"O43361_REVERSED",NA,NA
483.469645182292,"O43361","ZNF749","zinc finger protein 749 [Source:HGNC Symbol;Acc:HGNC:32783]"
529.490539550781,"O43365_REVERSED",NA,NA
589.517822265625,"O43365","HOXA3","homeobox A3 [Source:HGNC Symbol;Acc:HGNC:5104]"
565.506958007812,"O43395","PRPF3","pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]"
703.569702148438,"O43396_REVERSED",NA,NA
751.591491699219,"O43402_REVERSED",NA,NA
679.558776855469,"O43402","EMC8","ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864]"
559.504211425781,"O43414_REVERSED",NA,NA
559.504211425781,"O43414","ERI3","ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]"
835.629699707031,"O43426_REVERSED",NA,NA
424.44416809082,"O43432_REVERSED",NA,NA
397.433258056641,"O43432","EIF4G3","eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]"
649.545166015625,"O43435_REVERSED",NA,NA
649.545166015625,"O43435","TBX1","T-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11592]"
775.602416992188,"O43439_REVERSED",NA,NA
775.602416992188,"O43439","CBFA2T2","CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]"
397.433258056641,"O43448_REVERSED",NA,NA
397.433258056641,"O43448","KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6230]"
754.592864990234,"O43451_REVERSED",NA,NA
475.466003417969,"O43463_REVERSED",NA,NA
439.449645996094,"O43474_REVERSED",NA,NA
523.487854003906,"O43474","KLF4","KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]"
511.482391357422,"O43490","PROM1","prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]"
526.489212036133,"O43491_REVERSED",NA,NA
547.498779296875,"O43491","EPB41L2","erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]"
619.531494140625,"O43493_REVERSED",NA,NA
553.501480102539,"O43493","TGOLN2","trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]"
667.553344726562,"O43497_REVERSED",NA,NA
667.553344726562,"O43497","CACNA1G","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
679.558776855469,"O43506_REVERSED",NA,NA
679.558776855469,"O43506","ADAM20","ADAM metallopeptidase domain 20 [Source:HGNC Symbol;Acc:HGNC:199]"
817.621520996094,"O43513_REVERSED",NA,NA
661.550598144531,"O43520","ATP8B1","ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]"
643.542419433594,"O43521_REVERSED",NA,NA
571.509643554688,"O43524_REVERSED",NA,NA
781.605163574219,"O43525","KCNQ3","potassium voltage-gated channel subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:6297]"
442.45100402832,"O43526_REVERSED",NA,NA
637.539672851562,"O43541_REVERSED",NA,NA
637.539672851562,"O43541","SMAD6","SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]"
496.475555419922,"O43548_REVERSED",NA,NA
499.476928710938,"O43548","TGM5","transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]"
793.610595703125,"O43567","RNF13","ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]"
925.670654296875,"O43583_REVERSED",NA,NA
571.509643554688,"O43583","DENR","density regulated re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:2769]"
661.550598144531,"O43592_REVERSED",NA,NA
589.517822265625,"O43592","XPOT","exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]"
451.455078125,"O43593_REVERSED",NA,NA
721.577880859375,"O43593","HR","HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]"
733.583343505859,"O43602_REVERSED",NA,NA
733.583343505859,"O43602","DCX","doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]"
757.59423828125,"O43610_REVERSED",NA,NA
547.498779296875,"O43615_REVERSED",NA,NA
547.498779296875,"O43615","TIMM44","translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]"
472.464645385742,"O43623_REVERSED",NA,NA
601.523315429688,"O43623","SNAI2","snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]"
721.577880859375,"O43638","FOXS1","forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]"
664.551956176758,"O43657","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
655.5478515625,"O43663_REVERSED",NA,NA
541.496032714844,"O43665_REVERSED",NA,NA
541.496032714844,"O43665","RGS10","regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]"
625.534240722656,"O43670_REVERSED",NA,NA
625.534240722656,"O43670","ZNF207","zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]"
409.436004638672,"O43674_REVERSED",NA,NA
691.564208984375,"O43676_REVERSED",NA,NA
727.580627441406,"O43676","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]"
643.542419433594,"O43680","TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]"
751.591522216797,"O43683","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]"
751.591491699219,"O43707_REVERSED",NA,NA
751.591491699219,"O43734_REVERSED",NA,NA
505.479644775391,"O43741_REVERSED",NA,NA
505.479644775391,"O43741","PRKAB2","protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]"
871.646057128906,"O43752","STX6","syntaxin 6 [Source:HGNC Symbol;Acc:HGNC:11441]"
679.558776855469,"O43765","SGTA","small glutamine rich tetratricopeptide repeat co-chaperone alpha [Source:HGNC Symbol;Acc:HGNC:10819]"
673.556030273438,"O43768","ENSA","endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]"
493.474182128906,"O43772","SLC25A20","solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]"
463.460540771484,"O43781","DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]"
721.577880859375,"O43813_REVERSED",NA,NA
727.580627441406,"O43815_REVERSED",NA,NA
727.580627441406,"O43815","STRN","striatin [Source:HGNC Symbol;Acc:HGNC:11424]"
715.575134277344,"O43819","SCO2","synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]"
583.515116373698,"O43823_REVERSED",NA,NA
571.509643554688,"O43823","AKAP8","A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]"
439.449645996094,"O43825_REVERSED",NA,NA
